Oil on canvas,Oil on canvas
Lithograph,Lithograph
Lithograph,Lithograph
Lithograph,Lithograph
Gelatin silver print,Gelatin silver print
Oil on canvas,Oil on canvas
Aquatint,Aquatint
Lithograph,Lithograph
Lithograph,Lithograph
Aquatint and drypoint,Aquatint and drypoint
Lithograph,Lithograph
Oil on canvas,Oil on canvas
Photograph,Photograph
Lithotint,Lithotint
Tempera on panel,Tempera on panel
Drypoint,Drypoint
"Letterpress, ink on paper","Letterpress, ink on paper"
Oil on canvas,Oil on canvas
Lithograph,Lithograph
Etching,Etching
"Ink, pencil, and watercolor on paper","Ink, pencil, and watercolor on paper"
Oil on canvas,Oil on canvas
Lithograph,Lithograph
Oil on masonite,Oil on masonite
Etching,Etching
Crayon,Crayon
Aquatint,Aquatint
Color lithograph,Color lithograph
Reproduction,Reproduction
Black serpentine,Black serpentine
Ink and crayon on paper,Ink and crayon on paper
Etching,Etching
Lithograph,Lithograph
Watercolor,Watercolor
Oil on Masonite,Oil on Masonite
Oil on panel,Oil on panel
"Pencil, ink, and watercolor on paper","Pencil, ink, and watercolor on paper"
"Pencil, ink, and watercolor on paper","Pencil, ink, and watercolor on paper"
Gelatin silver print,Gelatin silver print
"Pencil, ink, watercolor, and crayon on paper","Pencil, ink, watercolor, and crayon on paper"
Reproduction,Reproduction
"Wood, gesso, paint, cloth, hide","Wood, gesso, paint, cloth, hide"
Lithograph,Lithograph
Soft-ground etching and aquatint,Soft-ground etching and aquatint
Aquatint and drypoint,Aquatint and drypoint
Color lithograph,Color lithograph
Color silkscreen,Color silkscreen
Oil on canvas,Oil on canvas
Pastel on paper,Pastel on paper
Etching,Etching
Etching and drypoint,Etching and drypoint
Etching,Etching
Pen and ink with airbrush,Pen and ink with airbrush
Lithograph,Lithograph
Oil on canvas,Oil on canvas
Linoleum block,Linoleum block
Oil on canvas,Oil on canvas
Lithograph,Lithograph
Etching and drypoint,Etching and drypoint
Watercolor on paper,Watercolor on paper
Lithograph,Lithograph
Gelatin silver print,Gelatin silver print
Etching,Etching
Black and white photograph,Black and white photograph
Pencil and ink on paper,Pencil and ink on paper
Ink wash,Ink wash
Lithograph,Lithograph
Ink and pencil on paper,Ink and pencil on paper
Woodcut,Woodcut
Pencil on paper,Pencil on paper
Oil on composition board,Oil on composition board
Black walnut,Black walnut
Color offset lithograph,Color offset lithograph
Ink and pencil on paper,Ink and pencil on paper
Conte crayon,Conte crayon
Pencil and ink on paper,Pencil and ink on paper
Ink,Ink
Oil on matboard,Oil on matboard
"Wood, gesso, paint","Wood, gesso, paint"
Color offset lithograph,Color offset lithograph
Cottonwood,Cottonwood
"Pencil, ink, crayon, and watercolor on paper","Pencil, ink, crayon, and watercolor on paper"
Crayon on paper,Crayon on paper
Lithograph,Lithograph
Oil on canvas,Oil on canvas
Charcoal,Charcoal
Gelatin silver print,Gelatin silver print
Oil on canvas,Oil on canvas
"Wood, gesso, paint","Wood, gesso, paint"
Colored pencil,Colored pencil
Pastel on brown paper,Pastel on brown paper
Lithograph,Lithograph
Lithograph,Lithograph
Oil on canvasboard,Oil on canvasboard
Ink and pencil on paper,Ink and pencil on paper
Oil on panel,Oil on panel
Oil on masonite,Oil on masonite
Lithograph,Lithograph
Watercolor and crayon,Watercolor and crayon
Oil on canvas,Oil on canvas
"Metal, paint","Metal, paint"
Lithograph,Lithograph
Watercolor,Watercolor
Etching,Etching
Tempera on gessoed panel,Tempera on gessoed panel
Gelatin silver print,Gelatin silver print
Lithograph,Lithograph
Reproduction,Reproduction
Mixed media on paper,Mixed media on paper
Ink on paper,Ink on paper
Ink wash,Ink wash
Etching,Etching
Etching and drypoint,Etching and drypoint
Color offset lithograph,Color offset lithograph
Lithograph,Lithograph
"Pencil, ink, and watercolor on paper","Pencil, ink, and watercolor on paper"
Watercolor,Watercolor
Linoleum cut,Linoleum cut
"Wood, gesso, paint, cloth, lace, cord","Wood, gesso, paint, cloth, lace, cord"
Lithograph,Lithograph
Gelatin silver print,Gelatin silver print
Drypoint,Drypoint
"Pencil, ink, and watercolor on paper","Pencil, ink, and watercolor on paper"
Lithograph,Lithograph
Oil on masonite,Oil on masonite
Sumi ink,Sumi ink
Aquatint and soft-ground etching,Aquatint and soft-ground etching
Oil on canvas,Oil on canvas
Oil on canvas,Oil on canvas
Ink wash,Ink wash
Lithograph,Lithograph
Lithograph,Lithograph
Oil on canvas,Oil on canvas
Etching,Etching
Watercolor,Watercolor
Matchstick ink,Matchstick ink
Aquatint,Aquatint
"Watercolor, crayon, and charcoal on paper","Watercolor, crayon, and charcoal on paper"
"Pencil, ink, and watercolor on paper","Pencil, ink, and watercolor on paper"
Lithograph,Lithograph
Linocut,Linocut
Etching,Etching
Lithograph,Lithograph
Lithograph,Lithograph
Lithograph,Lithograph
Lithograph,Lithograph
Etching,Etching
Lithograph,Lithograph
Oil on canvas,Oil on canvas
Etching,Etching
Ink and pencil on paper,Ink and pencil on paper
Ink and pencil on paper,Ink and pencil on paper
Oil on masonite,Oil on masonite
Color linoleum cut,Color linoleum cut
Pencil and ink on paper,Pencil and ink on paper
Lithograph,Lithograph
Gelatin silver print,Gelatin silver print
Lithograph,Lithograph
Lithograph,Lithograph
Pastel,Pastel
Oil on canvas board,Oil on canvas board
Oil on canvas mounted on masonite,Oil on canvas mounted on masonite
Lithograph,Lithograph
Lithograph,Lithograph
Lithograph,Lithograph
Silkscreen,Silkscreen
Silkscreen,Silkscreen
"Etching, drypoint","Etching, drypoint"
Lithograph,Lithograph
Lithograph,Lithograph
Lithograph,Lithograph
Lithograph,Lithograph
Lithograph,Lithograph
Oil on panel,Oil on panel
Cottonwood,Cottonwood
Serigraph,Serigraph
Oil on canvas,Oil on canvas
Oil on canvas,Oil on canvas
"Pencil, ink, and watercolor on paper","Pencil, ink, and watercolor on paper"
Gelatin silver print,Gelatin silver print
Lithograph,Lithograph
Oil on canvas,Oil on canvas
Pencil on mat board,Pencil on mat board
Ink and pencil on paper,Ink and pencil on paper
Lithograph,Lithograph
Lithograph,Lithograph
Oil on masonite,Oil on masonite
Gelatin dry plate negative,Gelatin dry plate negative
Lithograph,Lithograph
Oil on canvas,Oil on canvas
Oil on canvas,Oil on canvas
Lithograph,Lithograph
Lithograph,Lithograph
Oil on canvas,Oil on canvas
Lithograph,Lithograph
Ink on paper,Ink on paper
Oil on panel,Oil on panel
Lithograph,Lithograph
"Pencil, ink, and watercolor on paper","Pencil, ink, and watercolor on paper"
Gouache and watercolor,Gouache and watercolor
Linoleum cut,Linoleum cut
Etching,Etching
"Soft-ground etching, roulette","Soft-ground etching, roulette"
Chinese ink wash and charcoal,Chinese ink wash and charcoal
Aquatint and etching,Aquatint and etching
Lithograph,Lithograph
Photograph,Photograph
Oil on canvas,Oil on canvas
Lithograph,Lithograph
Aquatint and etching,Aquatint and etching
Oil,Oil
Lithograph,Lithograph
Silkscreen,Silkscreen
Color offset lithograph,Color offset lithograph
Lithographic crayon,Lithographic crayon
Pastel on paper,Pastel on paper
Pastel on masonite,Pastel on masonite
Pen and wash on paper,Pen and wash on paper
Lithograph,Lithograph
"Oil, unstretched canvas","Oil, unstretched canvas"
Color woodcut,Color woodcut
Mezzotint,Mezzotint
Lithograph,Lithograph
Oil on canvas,Oil on canvas
Oil on masonite,Oil on masonite
Color offset lithograph,Color offset lithograph
"Pencil, ink, and watercolor on paper","Pencil, ink, and watercolor on paper"
Lithograph,Lithograph
Gelatin silver print,Gelatin silver print
Oil on masonite,Oil on masonite
Lithograph,Lithograph
Mezzotint,Mezzotint
Oil on composition board,Oil on composition board
Wood engraving,Wood engraving
Gelatin dry plate negative,Gelatin dry plate negative
Oil on canvas affixed to composition board,Oil on canvas affixed to composition board
Stencil print,Stencil print
Lithograph,Lithograph
Charcoal on paper,Charcoal on paper
Lithograph,Lithograph
Etching,Etching
Lithograph,Lithograph
Aquatint,Aquatint
Pen and ink,Pen and ink
"Pencil, ink, watercolor, and crayon on paper","Pencil, ink, watercolor, and crayon on paper"
"Pencil, ink, watercolor, and crayon on paper","Pencil, ink, watercolor, and crayon on paper"
Egg tempera on composition board,Egg tempera on composition board
Lithograph,Lithograph
Oil on canvas,Oil on canvas
Ink and pencil on paper,Ink and pencil on paper
Oil on masonite,Oil on masonite
Intaglio,Intaglio
Watercolor,Watercolor
Gelatin silver print,Gelatin silver print
